"Maker","Model","Type","Fuel","Price","Cylinders","Displacement","DriveWheel","BHP","Torque","Acceleration","TopSpeed","MPG","Weight","Length","Width","Height","AdaptiveHeadlights","AdjustableSteering","AlarmSystem","Automatic","Bluetooth","ClimateControl","CruiseControl","ElectricSeats","Leather","ParkingSensors","PowerSteering","SatNav","ESP","Verdict","Origin"
"Alfa Romeo","Giulietta","Giulietta 1.6 JTDM-2 105 Veloce 5d","Diesel",21250,4,1598,"Front",105,236,11.3,115,64,1385,4351,1798,1465,"optional","standard","standard","no","standard","standard","standard","optional","optional","optional","standard","optional","standard",6,"Europe"
"Alfa Romeo","MiTo","MiTo 1.4 TB MultiAir 105 Distinctive 3d","Petrol",15155,4,1368,"Front",105,95,10.7,116,49,1090,4063,1720,1446,"optional","standard","standard","no","standard","optional","standard","no","optional","standard","standard","optional","standard",5,"Europe"
"Aston Martin","Cygnet","Cygnet 1.33 Standard 3d","Petrol",30995,4,1329,"Front",98,92,11.8,106,56,988,3078,1680,1500,"no","standard","no/optional","optional","standard","standard","standard","no","no","no","standard","standard","standard",7,"Europe"
"Aston Martin","DB9","DB9 6.0 517 Standard 2d 13MY","Petrol",131995,12,5935,"Rear",517,457,4.6,183,19,1785,4720,NA,1282,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Aston Martin","DB9 Volante","DB9 6.0 V12 517 Volante 2d 13MY","Petrol",141995,12,5935,"Rear",517,457,4.6,183,19,1890,4720,NA,1282,"standard","standard","no/optional","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Aston Martin","V12 Zagato","V12 Zagato 6.0 V12 Standard 2d","Petrol",396000,12,5935,"Rear",510,420,4.2,190,17,1680,4385,1865,1250,"no","standard","standard","no","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Aston Martin","Vanquish","Vanquish 6.0 V12 Standard 2d","Petrol",189995,12,5935,"Rear",573,457,4.1,183,19,1739,4720,1910,1294,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",7,"Europe"
"Aston Martin","Vantage","V8 Vantage 4.7 V8 420 Standard 2d","Petrol",84995,8,4735,"Rear",420,346,4.7,180,20,1630,4385,1865,1260,"no","standard","standard","optional","optional","standard","optional","standard","standard","standard","standard","optional","standard",8,"Europe"
"Aston Martin","Vantage Roadster","V8 Vantage 4.7 420 Roadster 2d","Petrol",93995,8,4735,"Rear",420,346,4.7,180,20,1710,4385,1865,1270,"no","standard","standard","optional","optional","standard","optional","standard","standard","standard","standard","optional","standard",7,"Europe"
"Audi","A1","A1 1.2 TFSI 86 S line 3d","Petrol",17025,4,1197,"Front",86,118,11.7,112,55,1040,3954,1740,1416,"optional","standard","standard","no","standard","optional","optional","no","optional","optional","standard","optional","standard",6,"Europe"
"Audi","A3","A3 1.4 TFSI 122 S line 3d 2012","Petrol",22580,4,1395,"Front",122,147,9.3,126,54,1175,4237,1777,1421,"optional","standard","standard","no","standard","standard","optional","optional","optional","optional","standard","optional","standard",7,"Europe"
"Audi","A4","A4 2.0 TDI 177 Black Edition 4d","Diesel",31530,4,1968,"Front",177,280,8.2,143,61,1480,4701,1826,1477,"standard","standard","standard","no","standard","no","standard","optional","no","standard","standard","no","standard",6,"Europe"
"Audi","A4 Allroad","A4 Allroad 2.0 TFSI 225 quattro Standard 5d Avant","Petrol",33525,4,1984,"4WD",225,258,6.5,149,40,1610,4699,1826,1436,"standard","standard","standard","standard","standard","no","standard","optional","no","standard","standard","no","standard",5,"Europe"
"Audi","A5","A5 Coupe 3.0 TDI 204 S line 2d","Diesel",36620,6,2967,"Front",204,295,7.1,146,57,1565,4626,1854,1372,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","optional","standard",7,"Europe"
"Audi","A5 Sportback","A5 Sportback 2.0 TFSI 211 quattro SE 5d","Petrol",33265,4,1984,"4WD",211,258,6.6,150,40,1615,4712,1854,1391,"standard","standard","standard","standard","standard","standard","optional","optional","standard","standard","standard","optional","standard",6,"Europe"
"Audi","A6 Avant","A6 3.0 TDI 245 quattro S Line 5d Avant","Diesel",44310,6,2967,"4WD",245,427,6.3,151,47,1790,4926,1874,1461,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","standard","standard",7,"Europe"
"Audi","A6 Saloon","A6 3.0 TDI 245 quattro SE 4d","Diesel",39960,6,2967,"4WD",245,427,6.1,155,47,1720,4915,1874,1455,"standard","standard","standard","standard","standard","standard","standard","optional","standard","standard","standard","standard","standard",6,"Europe"
"Audi","A7 Sportback","A7 Sportback 3.0 TFSI quattro SE 5d","Petrol",49095,6,2995,"4WD",300,324,5.6,155,34,1770,4969,1911,1420,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",6,"Europe"
"Audi","A8","A8 4.2 TDI 350 quattro SE Executive 4d","Diesel",68785,6,4134,"4WD",350,590,5.5,155,38,1995,5137,1949,1460,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard",8,"Europe"
"Audi","Q3","Q3 2.0 TDI 140 quattro S line 5d","Diesel",29260,4,1968,"4WD",140,236,9.9,122,49,1535,4385,1831,1608,"standard","standard","standard","no","standard","standard","optional","no","no","standard","standard","optional","standard",5,"Europe"
"Audi","Q5","Q5 2.0 TDI 143 quattro S line 5d","Diesel",32570,4,1968,"4WD",143,236,11.4,118,45,1755,4629,1880,1653,"standard","standard","standard","no","optional","standard","optional","optional","standard","standard","standard","optional","standard",7,"Europe"
"Audi","Q7","Q7 3.0 TDI 245 quattro S Line 5d","Diesel",46485,6,2967,"4WD",245,405,7.8,135,38,2300,5089,1983,1737,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","optional","standard",6,"Europe"
"Audi","R8","R8 4.2 V8 430 Coupe 2d","Petrol",91575,8,4163,"4WD",430,317,4.6,188,19,1560,4440,1904,1252,"standard","standard","standard","optional","standard","standard","optional","optional","standard","optional","standard","standard","standard",9,"Europe"
"Audi","R8 V10","R8 5.2 V10 525 Spyder 2d","Petrol",121375,10,5204,"4WD",525,390,3.1,194,19,1720,4440,1904,1244,"standard","standard","standard","optional","standard","standard","optional","standard","standard","optional","standard","standard","standard",9,"Europe"
"Audi","RS4 Avant","A4 4.2 V8 RS 4 5d Avant","Petrol",54925,8,4163,"4WD",450,317,4.7,155,26,1795,4719,1850,1416,"standard","standard","standard","standard","standard","standard","standard","standard","standard","standard","no","standard","standard",7,"Europe"
"Audi","TT Coupe","TT 2.0 TFSI 211 quattro Coupe S line 2011 2d","Petrol",32140,4,1984,"4WD",211,258,5.6,150,39,1360,4178,1842,1352,"optional","standard","standard","standard","optional","standard","optional","optional","standard","optional","standard","optional","standard",7,"Europe"
